Metadata_Well,TimepointName,Staining,Metadata_WellRow,Metadata_WellColumn,Metadata_Field,Replicate,Time,PassageNumber,Drug,Polylysine
B02,R1T4,MitoTracker/LAMP1,2,2,1,1,4,17,None,FALSE
B02,R1T4,MitoTracker/LAMP1,2,2,2,1,4,17,None,FALSE
B02,R1T4,MitoTracker/LAMP1,2,2,3,1,4,17,None,FALSE
B02,R1T4,MitoTracker/LAMP1,2,2,4,1,4,17,None,FALSE
B02,R1T4,MitoTracker/LAMP1,2,2,5,1,4,17,None,FALSE
B02,R1T4,MitoTracker/LAMP1,2,2,6,1,4,17,None,FALSE
B02,R1T4,MitoTracker/LAMP1,2,2,7,1,4,17,None,FALSE
B02,R1T4,MitoTracker/LAMP1,2,2,8,1,4,17,None,FALSE
B02,R1T4,MitoTracker/LAMP1,2,2,9,1,4,17,None,FALSE
B02,R1T4,MitoTracker/LAMP1,2,2,10,1,4,17,None,FALSE
B02,R1T4,MitoTracker/LAMP1,2,2,11,1,4,17,None,FALSE
B02,R1T4,MitoTracker/LAMP1,2,2,12,1,4,17,None,FALSE
B02,R1T4,MitoTracker/LAMP1,2,2,13,1,4,17,None,FALSE
B02,R1T4,MitoTracker/LAMP1,2,2,14,1,4,17,None,FALSE
B02,R1T4,MitoTracker/LAMP1,2,2,15,1,4,17,None,FALSE
B02,R1T4,MitoTracker/LAMP1,2,2,16,1,4,17,None,FALSE
B02,R1T4,MitoTracker/LAMP1,2,2,17,1,4,17,None,FALSE
B02,R1T4,MitoTracker/LAMP1,2,2,18,1,4,17,None,FALSE
B02,R1T4,MitoTracker/LAMP1,2,2,19,1,4,17,None,FALSE
B02,R1T4,MitoTracker/LAMP1,2,2,20,1,4,17,None,FALSE
B02,R1T4,MitoTracker/LAMP1,2,2,21,1,4,17,None,FALSE
B02,R1T4,MitoTracker/LAMP1,2,2,22,1,4,17,None,FALSE
B02,R1T4,MitoTracker/LAMP1,2,2,23,1,4,17,None,FALSE
B02,R1T4,MitoTracker/LAMP1,2,2,24,1,4,17,None,FALSE
B02,R1T4,MitoTracker/LAMP1,2,2,25,1,4,17,None,FALSE
B02,R1T4,MitoTracker/LAMP1,2,2,26,1,4,17,None,FALSE
B02,R1T4,MitoTracker/LAMP1,2,2,27,1,4,17,None,FALSE
B02,R1T4,MitoTracker/LAMP1,2,2,28,1,4,17,None,FALSE
B02,R1T4,MitoTracker/LAMP1,2,2,29,1,4,17,None,FALSE
B02,R1T4,MitoTracker/LAMP1,2,2,30,1,4,17,None,FALSE
B02,R1T4,MitoTracker/LAMP1,2,2,31,1,4,17,None,FALSE
B02,R1T4,MitoTracker/LAMP1,2,2,32,1,4,17,None,FALSE
B02,R1T4,MitoTracker/LAMP1,2,2,33,1,4,17,None,FALSE
